epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8506,1.18197,3.28898,1.55501,0.00308,0.91717,0.14747,0.08296,0.84631,4.01561,1.39236,0.00011432,0.00011432,0.00011432
2,41.7266,1.0558,2.80895,1.47842,0.00317,0.94747,0.25955,0.16595,1.0939,3.92167,1.52823,0.00023812,0.00023812,0.00023812
3,60.83,1.02714,2.40956,1.42746,0.00331,0.94747,0.1917,0.11663,1.28395,3.99368,1.69512,0.000356827,0.000356827,0.000356827
4,79.8774,0.97505,2.10495,1.41937,0.00373,0.9697,0.391,0.24574,1.28369,3.85041,1.75843,0.000470441,0.000470441,0.000470441
5,98.7976,1.02706,2.05893,1.45397,0.66802,0.22537,0.42135,0.245,1.36042,3.53206,1.91584,0.000578962,0.000578962,0.000578962
6,117.526,1.03038,2.06299,1.42825,0.90723,0.11572,0.33799,0.19983,1.48879,3.80067,2.01729,0.00068239,0.00068239,0.00068239
7,136.559,1.01983,2.03942,1.40612,0.73489,0.0954,0.26075,0.15374,1.84158,3.93944,2.10135,0.000780726,0.000780726,0.000780726
8,155.454,1.1077,2.03026,1.52899,0.48532,0.20202,0.2371,0.12972,1.83825,3.83754,2.09012,0.000873968,0.000873968,0.000873968
9,174.385,1.04653,1.94874,1.45655,0.19367,0.28283,0.29397,0.13704,1.74968,3.626,2.1693,0.000962117,0.000962117,0.000962117
10,193.259,1.03491,1.84324,1.42231,0.51968,0.39394,0.36358,0.17917,1.80271,3.79556,2.55053,0.00104517,0.00104517,0.00104517
11,212.045,1.06695,1.83417,1.45737,0.46274,0.4202,0.38873,0.21449,1.782,4.03899,2.37664,0.00112314,0.00112314,0.00112314
12,230.806,1.05947,1.83766,1.45929,0.40505,0.39596,0.3961,0.20191,1.75408,3.68803,2.45405,0.00111776,0.00111776,0.00111776
13,249.58,1.04847,1.74176,1.43455,0.35923,0.50533,0.35151,0.17587,1.64471,4.07848,2.20735,0.00108947,0.00108947,0.00108947
14,268.343,1.06842,1.7093,1.4548,0.4694,0.44269,0.37851,0.19872,1.56754,3.34342,2.18692,0.00106118,0.00106118,0.00106118
